layer,uniprot,n_actives,n_decoys,ef1,ef5,bedroc,auroc,pr_auc
L4,Q13574,576,28800,51.0000,19.9973,0.9929,1.0000,0.9999
L4,Q13724,529,26450,49.4889,19.9993,0.9730,0.9995,0.9573
L4,Q15078,52,2600,51.0000,14.9549,0.8415,0.9039,0.7281
L4,Q16236,86,4300,51.0000,19.0091,0.9795,0.9734,0.9546
L4,Q16739,309,15450,49.0633,19.9987,0.9597,0.9992,0.9368
L4,Q16832,326,16300,51.0000,19.7380,0.9902,0.9965,0.9844
L4,Q5JRX3,57,2850,51.0000,19.9110,0.9998,1.0000,1.0000
L4,Q6SZW1,243,12150,51.0000,19.9887,0.9976,1.0000,0.9999
L4,Q7Z3E1,574,28700,51.0000,19.9959,0.9870,0.9999,0.9973
L4,Q7Z5P4,894,44700,50.8882,19.9974,0.9985,1.0000,0.9980
L4,Q86SK9,54,2700,51.0000,19.9565,0.9999,1.0000,1.0000
L4,Q86UE8,68,3400,51.0000,19.3448,0.9818,0.9812,0.9630
L4,Q8N1C3,201,10050,51.0000,19.9825,0.9999,1.0000,1.0000
L4,Q8WYB5,192,9600,51.0000,19.9837,0.9996,1.0000,0.9995
L4,Q92551,192,9600,51.0000,19.9837,1.0000,1.0000,1.0000
L4,Q92794,859,42950,51.0000,19.9717,0.9991,0.9991,0.9988
L4,Q96DB2,71,3550,48.2432,18.7747,0.8939,0.9930,0.8353
L4,Q96GX5,258,12900,51.0000,19.9970,0.9993,1.0000,0.9999
L4,Q96KP4,110,5500,51.0000,19.9644,0.9856,1.0000,0.9999
L4,Q9BQA1,62,3100,51.0000,19.2453,0.9814,0.9852,0.9656
L4,Q9H0K1,109,5450,51.0000,19.2626,0.9828,0.9808,0.9630
L4,Q9HCE5,193,9650,50.4848,19.8621,0.9891,0.9958,0.9741
L4,Q9NPH5,96,4800,51.0000,19.9837,0.9998,1.0000,1.0000
L4,Q9NR19,142,7100,51.0000,19.9504,0.9998,1.0000,0.9997
L4,Q9UBM7,299,14950,51.0000,19.8519,0.9539,0.9956,0.9933
L4,Q9UHH9,91,4550,51.0000,19.9185,0.9999,1.0000,1.0000
L4,Q9UKP4,289,14450,51.0000,19.9986,1.0000,1.0000,1.0000
L4,Q9ULC5,179,8950,51.0000,19.9759,0.9999,1.0000,1.0000
L4,Q9ULV8,569,28450,49.9485,19.9993,0.9710,0.9997,0.9741
L4,Q9Y2I7,394,19700,51.0000,19.9433,0.9985,0.9995,0.9971
